 variables=y,z
 zone i=         101 ,j=2,k=1,f=point
  0.360618767968856       0.240929553071906     
  0.365388793641022       0.232206222732533     
  0.370072652150222       0.224037600479735     
  0.374661382109767       0.216411412648020     
  0.379145527294595       0.209315222452966     
  0.383515138913989       0.202736353856633     
  0.387759777355086       0.196661822513026     
  0.391868513467808       0.191078272980634     
  0.395829929451457       0.185971921496734     
  0.399632119398101       0.181328503695229     
  0.403262689542658       0.177133226726691     
  0.377232790457396       0.204636009532852     
  0.377232790457396       0.204636009532852     
